date,open,high,low,close,adj_close,volume,ticker
2015-01-02,105.16000366210938,105.66000366210938,102.66999816894533,103.43000030517578,80.41870880126953,4323700.0,HD
2015-01-05,102.77999877929688,102.77999877929688,100.79000091552734,101.26000213623048,78.73149871826172,5878100.0,HD
2015-01-06,102.06999969482422,102.06999969482422,100.33999633789062,100.9499969482422,78.49046325683594,4910100.0,HD
2015-01-07,102.29000091552734,104.47000122070312,102.0,104.41000366210938,81.18064880371094,5091000.0,HD
2015-01-08,105.37000274658205,106.98999786376952,105.0199966430664,106.72000122070312,82.97673034667969,6464600.0,HD
2015-01-09,106.87999725341795,106.87999725341795,104.81999969482422,104.88999938964844,81.55387115478516,5717600.0,HD
2015-01-12,105.16999816894533,105.29000091552734,104.05999755859376,104.41999816894533,81.18843841552734,4992900.0,HD
2015-01-13,105.41000366210938,106.04000091552734,103.1500015258789,103.7300033569336,80.65194702148438,5395200.0,HD
2015-01-14,102.41999816894533,103.41000366210938,101.87999725341795,102.63999938964844,79.80442810058594,5384400.0,HD
2015-01-15,103.31999969482422,103.6500015258789,100.81999969482422,101.01000213623048,78.5370864868164,6895000.0,HD
2015-01-16,100.86000061035156,104.30999755859376,100.23999786376952,104.12000274658205,80.9551773071289,6403800.0,HD
2015-01-20,104.83999633789062,104.9499969482422,102.3499984741211,103.25,80.27872467041016,5331300.0,HD
2015-01-21,103.0500030517578,104.05999755859376,102.5,103.52999877929688,80.49644470214844,5899200.0,HD
2015-01-22,104.37999725341795,106.30999755859376,103.54000091552734,106.06999969482422,82.4713363647461,5804100.0,HD
2015-01-23,106.20999908447266,106.4800033569336,105.30999755859376,105.37000274658205,81.92709350585938,4072300.0,HD
2015-01-26,105.36000061035156,106.5,105.05999755859376,106.36000061035156,82.69681549072266,4192300.0,HD
2015-01-27,104.77999877929688,105.80999755859376,104.4000015258789,105.16000366210938,81.76380920410156,4606500.0,HD
2015-01-28,105.30999755859376,107.43000030517578,104.5999984741211,104.73999786376952,81.43724060058594,4917300.0,HD
2015-01-29,105.13999938964844,107.73999786376952,104.51000213623048,107.62000274658205,83.67648315429688,6529300.0,HD
2015-01-30,106.36000061035156,106.86000061035156,104.37999725341795,104.41999816894533,81.18843841552734,7000000.0,HD
2015-02-02,104.77999877929688,105.0,101.56999969482422,104.43000030517578,81.19621276855469,5012800.0,HD
2015-02-03,104.88999938964844,107.31999969482422,104.80999755859376,107.23999786376952,83.38101196289062,5969200.0,HD
